index,Name,Price (EGP),Rating,Reviews,Keyword
20,فانلة توب كات بفتيل واسع من القطن للنساء من شارمين,147.00,3.9,52,top rated
21,طقم أواني طهي جرانيت من توب شيف، 18 قطعة - لون بيج، لا يلتصق,9602.00,4.5,2,top rated
22,بوتاجاز رويال لازورد 90 - كاست - مروحة - امان كامل معدل,17818.64,,,top rated
23,توب كات رياضي قصير بدون أكمام برقبة دائرية ضيقة - غير مبطن - للنساء,175.00,3.8,4,top rated
24,توب كات للنساء مع حزام عريض وطبقة اساسية من لاسو,99.00,3.7,38,top rated
25,بلايز نسائية - توب كات رياضي من المايكروفايبر 5% ليكرا، بلوزة صيفية قصيرة، جيدة التهوية ومريحة لصالة الالعاب الرياضية والارتداء الكاجوال,229.00,,,top rated
26,طقم فانلة للنساء مكون من 3 قطع بحمالات رفيعة (عبوة من 3 قطع),375.00,4.3,26,top rated
27,Genuine Leather (AR 98) Tote Handbag Purse CrossBody Bag Patent Leather Shoulder Bag Fashion,1160.00,,,top rated
28,توب كات مضلع عصري صيفي للنساء - زيتي غامق,450.00,,,top rated
29,بلوزة قصيرة منسوجة مضلعة - توب كات بدون أكمام ورقبة مرتفعة للنساء,185.00,2.5,5,top rated
30,توب رياضي برقبة دائرية ضيقة واكمام طويلة للنساء,335.00,4.4,174,top rated
31,بلوزة فسكوز برقبة دائرية ضيقة وكتف كامل للنساء من شارمين,177.00,4.7,9,top rated
32,بلوزة قطنية بدون أكمام للاستخدام اليومي للنساء من كارما,159.00,5.0,1,top rated
33,بلوزة اساسية بيانكا 1 للنساء من سيلفي,119.00,3.6,25,top rated
34,نسائي توب حريمي كت منقوش,112.50,5.0,1,top rated
35,بلوزة سباحة عصرية بأكمام طويلة و3 خطوط للنساء من اديداس، قماش,5019.00,4.0,1,top rated
36,توب طبقة اساسية دونا 1 للنساء من سيلفي,99.00,4.4,16,top rated
37,توب كات بيسيك للنساء من لاسو,89.00,3.7,39,top rated
38,توب بيسيك بكوب للنساء -Bk5,599.00,,,top rated
39,فانلة ايزي توب للنساء من قطونيل,119.00,3.9,45,top rated
40,"نظارة شمس افييتور كلاسيكية للقيادة مستقطبة للحماية من الاشعة فوق البنفسجية 400 مع علبة للنساء والرجال، متعدد الالوان , X",420.00,4.1,17,top rated
41,صينية مستطيلة من الجرانيت من توب شيف، مقاس 30، لون أسود,799.00,4.5,113,top rated
42,بخاخ الجسم ذا بريميوم كوليكشن للرجال من اكس بلون اميرالد سيج لرائحة الجسم الدقيقة ومزيل عرق للحماية من الروائح الكريهة لمدة 72 ساعة، 150 مل,195.00,,,top rated
43,"اساور جلدية للرجال النساء والاولاد من مورس كود، هدايا للنساء، اساور ملهمة مضحكة للبنات والاصدقاء والابنة والام, جلد, اللافندر، العقيق",450.00,5.0,3,top rated
44,توب بناتى ريب قطن بيور رقبه كروس,120.00,,,top rated
45,تي شيرت قصير للنساء من ايه تي كيه,180.00,4.5,2,top rated
46,صينية جرانيت مستطيلة من توب شيف، مقاس 25، لون أسود,611.00,4.5,113,top rated
47,صينية جرانيت مستطيلة من توب شيف، بلون بورغندي، 30 سم,1500.00,3.0,1,top rated
96,"اساور جلدية للرجال النساء والاولاد من مورس كود، هدايا للنساء، اساور ملهمة مضحكة للبنات والاصدقاء والابنة والام, جلد, اللافندر، العقيق",450.00,,,top rated
97,كاش شيون للارتداء اعلى ملابس السباحة,449.50,,,top rated
99,جوانتي عمل متين ومقاوم للصدمات لعمال الحفر من رينجرز R-267,590.00,,,top rated
101,بلايز نسائية - توب كات رياضي باكمام طويلة لصالة الالعاب الرياضية والتمارين والجري واليوغا - من المايكروفايبر سريع الجفاف مع 5% ليكرا للنساء - للرياضة والحماية من الشمس,399.00,,,top rated
102,شاحن سطح المكتب العالمي 5 في 1 غان 65 واط USB-C للشحن السريع من دابون: مع منفذ تيار متردد واحد ومنفذي PD USB-C ومنفذي USB-A,1500.00,,,top rated
103,مكنسة بخار 1000 واط، مكنسة بخار محمولة باليد، مع فوهات متعددة وقفل امان - تنظيف بالضغط بدرجة حرارة عالية لازالة البقع - تتضمن الملحقات,1600.00,,,top rated
105,توب بيكيني برقبة U للنساء من ديفاكتو Z9388AZ,399.00,5.0,1,top rated
106,بوز مكبر صوت بلوتوث صغير ساوند لينك II 725192-1310 (لؤلؤي),7900.00,4.1,64,top rated
108,"7pcs Nose Pin Gold Nose Ring Women’s Jewelry Nose Studs for Women Brass Nose Ring Hoop Crystal Nose Ring Crystal Heart Nose Rings Nose Ring Clip Golden Nose Rings Heart Nose Clip, 1x0.5cm,",470.37,,,top rated
110,صينية خبز جرانيت من توب شيف، مقاس 30 - اسود,749.00,5.0,11,top rated
112,شنطة ظهر مضادة للسرقة بمنفذ شحن USB وقفل بكلمة مرور، شنطة ظهر متينة مقاومة للماء للسفر او الجامعة او العمل او المدرسة,800.00,,,top rated
113,جوانتي عمل متين ومقاوم للصدمات لعمال الحفر من رينجرز R-267، مقاس XL,450.00,,,top rated
114,بنطلون نسائي مرتفع الخصر بأرجل واسعة من الدانتيل، تنورة قصيرة بدون اكمام مفتوحة من الخلف بدون حمالات، بيج,978.00,5.0,1,top rated
115,صينية خبز جرانيت من توب شيف، مقاس 26 - بورجندي,720.24,4.7,78,top rated
116,فيست ساونا للرجال من فاشون مانيا، توب كات بسوستة من النيوبرين مع حزام لتمارين البطن والخصر، بدلة ساونا قابلة للتعديل بسوستة,699.00,,,top rated
117,شاحن بطارية عالمي لسطح المكتب متعدد الالوان,143.00,,,top rated
118,FOMIYES 8 Pcs reusable shampoo and conditioner bottles empty shampoo dispensers black glasses clear travel bottles liquid dispenser travel liquid container Emulsion Bottle Shampoo Bottle,824.36,,,top rated
119,تيشيرت بدون اكمام من قماش الجيرسي للنساء من ايه اس تي كيه,420.00,4.0,2,top rated
120,فانلة توب كات بفتيل واسع من الفسكوز للنساء من شارمين,177.00,3.5,20,top rated
121,توب كات بدون اكمام من القطن للنساء من كارينا,279.99,2.0,2,top rated
122,طقم حراري مكون من توب باكمام طويلة وسروال داخلي للأولاد من دايس,199.99,4.0,50,top rated
123,بخاخ الجسم ذا بريميوم للرجال من اكس ذا بريميوم، اكوا برغموت لرائحة الجسم الدقيقة ومزيل عرق للحماية من الروائح الكريهة لمدة 72 ساعة، 150 مل,195.00,,,top rated
124,صينية جرانيت مستطيلة من توب شيف مقاس 35 أسود,1619.00,3.5,3,top rated
125,بلوزة سادة بأكمام عصرية للنساء من ايه تي كيه,440.00,,,top rated
126,طقم حراري مكون من توب باكمام طويلة وسروال داخلي للبنات من دايس,229.00,4.6,23,top rated
127,توب بدون اكمام للرجال لاداء التمارين الرياضية، فيست لبناء العضلات واللياقة البدنية.,480.00,2.3,6,top rated
128,قميص داخلي سهل الارتداء للنساء من فيجا ايزي توب,119.00,4.3,12,top rated
129,حامل موبايل بارتفاع وزاوية قابل للتعديل للمكتب، ذراع مرن، حامل عالمي من خليط معدني من الالومنيوم لتسجيل سطح المكتب متوافق مع اجهزة 3.5 انش - 7 انش (اسود),599.99,,,top rated
130,بلوزة لوكس كونتور قصيرة عصرية للنساء (عبوة من قطعة واحدة),1999.00,,,top rated
131,توب كات كلاسيكي قصير للنساء من أميريكان إيجل,375.00,,,top rated
132,بخاخ الجسم ذا بريميوم من اكس للرجال برائحة اللافندر الازرق لرائحة الجسم الدقيقة ومزيل العرق للحماية من الروائح الكريهة لمدة 72 ساعة، 150 مل,195.00,,,top rated
133,دايس للرجال تي شيرت حماله قطن صافي باك 3 قطع,275.00,,,top rated
134,كرتونة ورق 5 رزم مقاس A4 وزن 70 جرام من مرام Maram - عدد 5 * 500 ورقة للطباعه والتصوير,795.00,,,top rated
135,توب كات للبنات الصغيرات من جونيور، ملابس للارتداء الخارجي، قطن,174.56,,,top rated
136,صينية فريزر من السيليكون بكوب واحد مزودة بغطاء من سوبس كيوبز - حاوية لتحضير الوجبات السهلة وحل للتخزين في المطبخ - قوالب سيليكون للشوربة ولتخزين الطعام - اكوا,450.00,4.6,3,top rated
137,بلوزة قصيرة منسوجة من الدانتيل للنساء من اونلي، مقاس 44 - كلاود دانسر,999.00,,,top rated
138,صينية خبز جرانيت مربعة من توب شيف، مقاس 26 - اسود,749.00,4.7,6,top rated
139,توب كات للنساء من ريد كوتون، طقم 3 قطع (عبوة من 3 قطع),169.00,3.3,5,top rated
140,Uno توب كوت سوبر شاين نن كلينسنج يو في ليد 50 مللي شفاف، من اونو,580.00,1.0,1,top rated
141,تيشرت نسائي سادة ومرن من القطن - اسود,69.52,4.0,41,top rated
142,طابعة اصلية اندر-3 V2 نيو ثلاثية الابعاد لسطح المكتب اف دي ام، 220 × 220 × 250 ملم، حجم الهيكل سي ار تعمل باللمس، تسوية تلقائية باثق معدني بالكامل مع منصة مرنة تدعم الطباعة,24500.00,,,top rated
143,مزيل عرق سبراي سيلفر بروتيكت للرجال من نيفيا، - 150 مل,103.75,,,top rated
144,مجموعة تنظيف الالكترونيات متعددة الوظائف 7 في 1 مع فرشاة وقلم 3 في 1 لتنظيف ايربودز وسماعة الاذن واللاب توب والموبايل والشاشة والكيبورد,109.00,3.9,1277,electronics
145,حامل لابتوب قابل للتعديل، حامل لابتوب محمول من الالومنيوم للمكتب، حامل دعم تبريد قابل للطي وجيد التهوية لاجهزة ابل ماك بوك برو/اير، اتش بي، سوني، ديل، والمزيد 10-15.6 انش,149.00,4.0,3972,electronics
146,تابلت كتابة ورسم ديجيتال مقاس 8.5 بوصة بنمط لوح كتابة يدوية ورسومات الكتروني بشاشة LCD من نيولايت - ألوان متنوعة,79.00,3.5,946,electronics
147,مجموعة محول كابل شحن متعدد من هيسيمينغ، محول كابل USB نوع سي إلى مايكرو USB/لايتنينج/USB نوع ايه يمكن استخدامه كحامل موبايل (أسود),134.98,4.3,466,electronics
148,كيبل راوتر USB تيار مستمر 5 فولت الى 12 فولت، كيبل امداد طاقة USB مع مقبس تيار مستمر 5.5 × 2.1 ملم لمروحة اضاءة LED ومكبرات الصوت (1 متر),33.00,4.0,572,electronics
149,وصلة كهرباء GP310 بحماية من الحمل الزائد من جي-باور يحتوي على مقبس ذكي عالمي واربعة منافذ USB مع سلك من بلاستيك بي في سي بطول 2 متر 240 فولت كحد اقصى - اسود,199.00,4.0,209,electronics
150,فلاش ميموري USB 64 جيجابايت من هيكفيجن HS-USB-M200(STD)/64G، usb2.0، سعة 64.0 GB، من هايكفيجين,159.00,3.8,2988,electronics
151,كابل شحن متعدد المنافذ 3 في 1 مع منفذ مايكرو USB ونوع سي للموبيلات والتابلت، 2.4 أمبير شكل فريد وموفر، هاتف ذكي، محول الشحن,88.80,3.6,21,electronics
152,شاحن باور بانك محمول لشحن البطارية بشكل خارجي سعة 10000 مللي امبير في الساعة مزود بمنفذين اسود من جوي روم JR-T012، اكريلونيتريل بوتادين ستيرين,425.00,3.8,655,electronics
153,حامل موبايل لسطح المكتب بإرتفاع وزاوية قابلين للتعديل وتصميم عنق الأوزة ومزود بذراع مرن ودوران 360 درجة للبث المباشر وتصوير مقاطع الفيديو لليوتيوب ، أسود، بلاستيك,59.00,3.1,22,electronics
154,لوحة كتابة ال سي دي مقاس 8.5 بوصة، لوحة رسم وكتابة الكترونية محمولة للكتابة والرسم صديقة للبيئة مع قلم ومسح ذاتي بضغطة واحدة، اسود,80.00,3.6,160,electronics
155,كابل للموبايل LS441 للشحن السريع 2.4 امبير، كابل USB من النوع سي من لدنيو- 1 متر، لون رمادي، لهاتف ذكي,59.50,4.2,1800,electronics
156,سماعة اذن داخلية لاسلكية M10 ترو وايلرلس ستيريو تعمل باللمس بتقنية بلوتوث، سماعات اذن رياضية بخاصية تقليل الضوضاء مع شاشة ديجيتال وميكروفون، اسود، في الاذن,237.00,2.6,630,electronics
157,سماعات داخل الاذن بيسك مع ميكروفون مدمج و اطراف سليكون مقاس 3 - اسود، سلكي,222.00,4.1,77595,electronics
158,سماعة رأس بلوتوث اير بود برو بلس مع علبة شحن لاسلكية بخاصية الغاء الضوضاء النشطة (ابيض، لاسلكية حقيقية)، في الاذن,397.50,3.0,223,electronics
159,ساعة ذكية T800 الترا رياضية وعصرية بسوار من السيليكون للرجال والنساء مع 10 أوضاع للتمرين، لون أسود,499.00,2.1,8,electronics
160,محول فيشة ثلاثي للسفر من اي لوك,43.00,4.7,1491,electronics
161,كيبل طاقة USB بتيار مستمر 5 فولت الى 12 ، مزود مع مقبس تيار 5.5 × 2.1 ملم لمروحة إضاءة LED ومكبرات الصوت ( 1 متر ) ( روتر محول الشحن مكبر صوت ),44.00,4.0,137,electronics
162,باور بانك شاومي من ريدمي VXN4305GL 10000 مللي امبير في الساعة من 4 منافذ، أسود، 10000 مللي أمبير في الساعة، الليثيوم,699.00,4.4,140,electronics
163,سماعة لاسلكية ساوند كور R50i بتقنية ترو وايرليس مع مكبر صوت داخلي 10 ملم بصوت جهوري قوي وبلوتوث 5.3 ووقت تشغيل 30 ساعة، مقاومة للماء IPX5، مزودة بـ 2 ميكروفون و22 معادل صوت من انكر، أسود، فوق الأذن,949.00,4.0,1211,electronics
164,سماعات اذن ستيريو سلكية محمولة مع ميكروفون من يسون - لون أسود، موديل cx330، سي اكس 330، داخل الأذن,35.00,3.2,328,electronics
165,مجموعة تنظيف مبتكرة 7 في 1 لسماعات ايربودز 1/2/3/ برو وسماعات الاذن والحافظة ولوحة المفاتيح، ادوات للتنظيف العميق مع منظف للشاشة للايفون وسماعات بلوتوث اللاسلكية واللابتوب والكاميرا,107.99,3.8,311,electronics
166,كيبل محول جهد USB بتيار مستمر 5 فولت الى تيار مستمر 12 فولت من اي جريلي، كيبل USB مع مقبس تيار مستمر 5.5 × 2.5 ملم او 5.5 × 2.1 ملم، USB 5 فولت الى تيار مستمر 12 فولت كيبل 3 قدم، لمكبر صوت,40.00,4.0,1935,electronics
167,تابلت كتابة LCD ملون مقاس 12 انش للاطفال من كولزون، لوح رسم محمول قابل للمسح، لعبة تعليمية تعليمية للاولاد والبنات، زهري,155.00,4.3,2582,electronics
168,لوحة إلكترونية للكتابة بشاشة إل سي دي- لوحة مذكرة للرسم مع قلم 8.5 بوصة ، ألوان متنوعة,80.00,3.7,289,electronics
169,بطاريات كربون زنك AA وAAA من ايفريدي 1215-8+1212-4 - 12 قطعة، 1.5 فولت,109.00,,,electronics
170,فيتشي مجموعة تنظيف متعددة الوظائف 20 في 1 للاجهزة الالكترونية، فرشاة تنظيف لوحة المفاتيح، مجموعة تنظيف سماعات الايربودز، اداة متعددة لتنظيف اللابتوب والكيبورد وسماعات الاذن والكاميرا والجوالات,375.00,4.4,754,electronics
171,محول USB C الى HDMI، محول USB 3.1 نوع سي الى HDMI 4K + USB 3.0 + منفذ شحن PD موزع 3 في 1، محول AV رقمي USB-C متعدد المنافذ لماك بوك برو/ايباد برو/S8+/S9+/جهاز عرض/شاشة,250.00,3.9,66,electronics
172,حافظة انكر R50i مضادة للغبار لسماعات الاذن - حافظة انكر ساوند كور R50i مع حبل قصير لسماعات ايربودز (اسود)، سيليكون,92.40,4.2,233,electronics
173,راديو كهربائي، موديل RX-608acw من جولون - لون بني وستون,305.00,3.8,202,electronics
174,سماعات أذن بلوتوث 5.0 لاسلكية M10 مع علبة قابلة لإعادة الشحن بسرعة 2000 مللي امبير في الساعة، بمؤثر صوت باس عميق وخاصية التحكم باللمس لأجهزة اندرويد وايفون وايباد، داخل الأذن، اسود حالك,225.00,2.8,121,electronics
175,مجموعة تنظيف الالكترونيات 7 في 1 لسماعات ايربودز برو وايفون وايباد وايبود وماك بوك، مجموعة تنظيف متعددة الوظائف للكيبورد والجوال والكمبيوتر واللاب توب والشاشات وسماعات الاذن والتابلت والتلفزيون، بينك,105.59,3.6,72,electronics
176,سماعات اذن بلوتوث بسلك لموبايل ايفون اكس و8 و7 بلس، داخل الأذن، أبيض,84.00,2.5,26,electronics
177,تابلت بشاشة LCD محمول، 8.5 بوصة، للكتابة والرسم ومزود بذاكرة لحفظ الملاحظات,80.00,3.3,77,electronics
178,مجموعة تنظيف 3 في 1 كفء للكمبيوتر واللاب توب وتلفزيون LCD والشاشة والكاميرا والموبايل والعدسة والتابلت من لابستر (100 مل),82.80,4.2,189,electronics
179,عبوة بطارية ماكس برومو بحجم ايه ايه ايه من انرجايز، عبوة بلاستيك مجوفة بها 4+2 حجر ريموت 4+2، 1.5 فولت، قلوي,139.00,,,electronics
180,شنطة تنظيم ملحقات إلكترونيات، شنطة تنظيم كابلات سفر، شنطة أدوات سفر عالمية لحمل كابل USB وبطاقة SD وقرص صلب وشاحن (أسود)، نايلون,272.50,4.4,3753,electronics
181,شاحن حائط 3 منافذ من اي لوك، 3500 وات - اسود,57.00,4.7,1269,electronics
182,حامل موبايل ولاب توب ، جانبي للاب او شاشة المكتب ذكي رفيع قابل للطي توسيع لشاشة الكمبيوتر من دي كيه 177 متوافق مع اي لون فضي,175.00,3.7,1064,electronics
183,انكر كيبل شحن 322 USB - C الى - بطول 91 سم لماك بوك برو 2020 وايباد وسويتش وسامسونغ جالكسي اس 20 بلس واس 9 8 مع ضمان محلي لمدة 18 شهر ، لمحول الشحن، USB 3.0,199.00,4.5,621,electronics
184,تابلت بشاشة LCD محمول، 8.5 بوصة، للكتابة والرسم ومزود بذاكرة لحفظ الملاحظات,83.98,3.7,189,electronics
185,كابل USB نوع سي للشحن ونقل البيانات بقدرة 66 وات وطول 1.2 متر مع شاشة رقمية من جوي رووم، موديل S-AC066A16 - لون أسود,380.00,4.1,15,electronics
186,شنطة هارد ديسك خارجي من ويسترن ديجيتال، لون اسود، بلاستيك,104.90,4.4,350,electronics
187,سماعة CX330 داخل الأذن اذن مع مايكروفون وعزل ضوضاء سلك مسطح من يسون موديل CX330 أحمر، سي اكس 330,39.00,3.5,65,electronics
188,شاشة LED مقاس 22 بوصة بلوحة IPS وتصميم بدون اطار من سامسونج، 1920 x 1080، أسود,3199.00,3.8,252,electronics
189,تابلت مذكرات الكتروني ال سي دي لكبار السن والاطفال، 12 بوصة، متعدد الألوان,112.70,3.6,82,electronics
190,مجموعة تنظيف الكترونية 18 في 1 مع حامل هاتف، مجموعة تنظيف الكترونية للكمبيوتر والتلفزيون من فيراسر. مجموعة تنظيف الإلكترونيات ولوحة المفاتيح والشاشات تصميم صغير جديد إصدار عام 2023.,260.00,4.0,61,electronics
191,مجموعة تنظيف الكترونية 20 في 1، مجموعة تنظيف متعددة الوظائف لسماعات ايربودز برو، الجوال، اللابتوب، الكاميرا، الكيبورد، الشاشة، منظف الكيبورد مع منفاخ هواء غبار وتنظيف بخاخ,375.00,4.4,110,electronics
192,جوال سامسونج جالكسي A05s الذكي بنظام اندرويد، ثنائي شرائح الاتصال، ال تي اي، ذاكرة رام 4 جيجا، تخزين 128 جيجا، فضي,5499.00,4.0,298,smartphones
193,موبايل ذكي c31 4G شاشة 6.74 بوصة HD+ من نوكيا كاميرا خلفية 13+2+2 ميجابيكسل وفلاش ليد كاميرا امامية 5 ميجابكسل بطارية 5050 مللي امبير في الساعة اندرويد 12 تحديثات امنية لمدة عامين - رصاصي بشريحتين,3299.00,3.7,89,smartphones
194,موبايل سامسونج جالاكسي A05s، يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة رام سعة 4 جيحا، وذاكرة تخزين 128 جيجا، أسود,5499.00,4.0,298,smartphones
195,موبايل ريدمي A3 شبكة الجيل الرابع 4G، شريحتين اتصال وكاميرا مزدوجة، ذاكرة رام 3 جيجابايت، تخزين 128 جيجابايت، شاشة HD عالية الدقة 90 هرتز 6.71 بوصة، بطارية 5000 مللي أمبير في الساعة، أسود,4789.00,3.5,26,smartphones
196,موبايل سامسونج جالاكسي A05s، هاتف ذكي يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة RAM سعة 6 جيحا، وذاكرة تخزين 128 جيجا، أسود,6089.00,4.0,298,smartphones
197,موبايل ريدمي 13C بشريحتين اتصال بذاكرة رام 6 جيجا وذاكرة ROM مساحة 128 جيجا (6.74 بوصة) (شبكة الجيل الرابع 4G) - (أسود داكن),5871.19,3.7,64,smartphones
198,موبايل سامسونج جالاكسي A05s، هاتف ذكي يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة RAM سعة 6 جيحا، وذاكرة تخزين 128 جيجا، فضي,6089.00,4.0,298,smartphones
199,جوال شاومي ريدمي 13C ثنائي شرائح الاتصال بذاكرة RAM 8GB وذاكرة روم 256GB وشاشة 6.74 انش واتصال 4G وكاميرا عالية الدقة وأداء قوي وتصميم انيق بلون كحلي,6790.00,3.7,64,smartphones
200,موبايل سامسونج جالاكسي A35 الجيل الخامس 5G، نظام أندرويد، شريحتين اتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 256 جيجابايت، اوسام نيفي، كحلي,14444.00,4.1,75,smartphones
201,جوال سامسونج جالكسي ايه 55 الجيل الخامس 5G، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجا، تخزين 256 جيجا، كحلي رائع - ضمان لمدة عام,19200.00,4.3,192,smartphones
202,هاتف نوكيا ذكي C31 4G، شاشة 6.75 انش HD+، كاميرا خلفية 13+2+2 ميجابكسل وفلاش ليد، كاميرا امامية 5 ميجابكسل، بطارية 5050 ميلي امبير في الساعة، اندرويد 12، تحديثات امنية لمدة عامين - اخضر فاتح، بشريحتين,3299.00,3.7,89,smartphones
203,جوال شاومي ريدمي A2+ ثنائي شرائح الاتصال، ذاكرة RAM 3GB، ذاكرة روم 64GB، تصميم انيق، شاشة عالية الدقة، اداء فعال، عمر بطارية طويل لتجربة جوال سلسة باللون الاسود,3999.00,3.9,55,smartphones
204,موبايل سامسونج جالاكسي A05s، هاتف ذكي يعمل بنظام اندرويد، بشريحتين اتصال، ذاكرة RAM سعة 6 جيحا، وذاكرة تخزين 128 جيجا، بنفسجي فاتح,6099.00,4.0,298,smartphones
205,موبايل سامسونج جالاكسي A35 شبكة الجيل الخامس 5G، نظام أندرويد، شريحتين اتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 256 جيجابايت، اوسام ايس بلو، أزرق,14444.00,4.1,75,smartphones
206,موبايل ريدمي نوت 13 بشريحتين اتصال وذاكرة رام 6 جيجابايت وذاكرة ROM‏ 128 جيجابايت (6.67 بوصة) (شبكة الجيل الرابع 4G) (اسود ميدنايت),8199.00,4.2,51,smartphones
207,جوال شاومي ريدمي 13C ثنائي شرائح الاتصال بذاكرة RAM 6GB وذاكرة روم 128GB وشاشة 6.74 انش واتصال 4G وكاميرا عالية الدقة وأداء فعال وتصميم انيق بلون ازرق كحلي معزز,5999.00,3.7,64,smartphones
208,موبايل سامسونج جالاكسي A35 شبكة الجيل الخامس 5G، موبايل ذكي يعمل بنظام اندرويد، بشريحتي اتصال، ذاكرة رام سعة 8GB، وذاكرة روم 128GB، لون كحلي رائع (إصدار الإمارات العربية المتحدة),13296.19,4.1,75,smartphones
209,سامسونج هاتف ذكي جالكسي اس 23 اف اي 5G ثنائي شرائح الاتصال بنظام اندرويد، ذاكرة رام 8 جيجا، ذاكرة روم 256 جيجا - ارجواني,25988.15,4.0,290,smartphones
210,اي تيل A70 رام 12 جيجا مع ذاكرة روم 256 وكاميرا خلفية مزدوجة 13 ميجابكسل أمامية 8 وبطا، ايه 70، بشريحتين,4444.00,3.9,156,smartphones
211,موبايل ريدمي A3 شبكة الجيل الرابع 4G، شريحتين اتصال وكاميرا مزدوجة، ذاكرة رام 3 جيجابايت، تخزين 128 جيجابايت، شاشة HD عالية الدقة 90 هرتز 6.71 بوصة، بطارية 5000 مللي أمبير في الساعة، ستار بلو,4899.00,3.5,26,smartphones
212,موبايل انفينيكس سمارت 8 شبكة الجيل الرابع 4G بذاكرة رام 4 جيجابايت تصل إلي 8 ومساحة تخزين 64 جيجابايت وشاشة بها ثقب 90 هرتز وكاميرا مزدوجة 50 ميجابيكسل وفلاش رباعي ومعالج ميديا تك هيليو جي 36,4125.00,4.5,18,smartphones
213,موبايل نوكيا c10 بشريحتين وذاكرة رام 2 جيجابايت وذاكرة تخزين 32 جيجابايت وشاشة 6.51 بوصة LCD بدقة +hd وكاميرا أمامية على شكل V ونظام اندرويد 11 وخاصية التعرف على الوجه ومستشعر تقارب، أرجواني فاتح,,3.3,97,smartphones
214,موبايل ريدمي 13C بشريحتين اتصال وذاكرة رام 4 جيجابايت وذاكرة ROM سعة 128 جيجابايت (مقاس شاشة 6.74 بوصة) (شبكة الجيل الرابع 4G ) - (لون أسود ميدنايت),5444.00,3.7,64,smartphones
215,سامسونج هاتف ذكي جالكسي اس 23 اف اي 5G ثنائي شرائح الاتصال بنظام اندرويد، ذاكرة رام 8 جيجا، ذاكرة روم 256 جيجا - جرافيت,25430.00,4.0,290,smartphones
